dimensione,valore
100.00,102971.01
27.00,22319.70
71.00,74248.48
34.00,28121.32
95.00,96795.05
23.00,23956.24
74.00,78805.53
92.00,91603.34
77.00,75991.96
38.00,16927.93
39.00,27096.06
83.00,80966.89
99.00,114233.54
85.00,73596.58
95.00,99538.12
23.00,10311.86
71.00,66192.93
27.00,13952.67
48.00,25154.38
39.00,15434.36
58.00,53928.15
69.00,64516.37
39.00,18910.94
111.00,147756.37
43.00,31416.08
119.00,152220.93
39.00,27627.68
95.00,107500.61
47.00,36944.46
107.00,123401.58
78.00,68360.22
98.00,105452.16
48.00,35622.09
98.00,97003.35
23.00,23616.80
103.00,125201.25
48.00,38283.54
60.00,40315.97
87.00,89836.73
93.00,107171.39
22.00,26785.35
49.00,41072.22
54.00,31574.43
79.00,74356.26
100.00,100235.45
46.00,34022.25
59.00,48522.50
104.00,115430.74
89.00,89473.77
64.00,43656.70
